标准字段,中文字段别名,类型
peer_exposure_to_view_rate,竞争圈曝光浏览转化率|竞对曝光浏览转化率|peer_exposure_to_view_rate|peer_booking_conversion_rate,ratio
payment_conversion_rate,支付转化率|浏览-支付转化|浏览支付转化率|payment_conversion_rate|pay_rate,ratio
peer_payment_conversion_rate,竞争圈支付转化率|竞对支付转化率|同行支付转化率|peer_payment_conversion_rate|peer_view_to_pay_rate,ratio
orders_low_days,订单低于竞对天数|订单低于竞争圈天数|orders_low_days|paid_orders_below_peer_days,number
conversion_low_days,转化低于竞对天数|转化低于竞争圈天数|conversion_low_days|payment_conversion_below_peer_days,number
order_structure_match_rate,订单结构匹配度|客源结构匹配度|order_structure_match_rate|customer_structure_match_rate,ratio
order_structure_status,订单结构状态|客源结构状态|order_structure_status,enum
sales_speed,销售速度|库存消耗速度|售卖速度|sell_through_rate|sales_speed,ratio
room_type_health_rate,房型健康率|房型结构健康率|房型完整度|room_type_health_rate,ratio
room_type_revpar_health,房型RevPAR健康率|房型RevPAR分层|高效房型占比|efficient_room_type_rate|room_type_revpar_health,ratio
price_completeness,价格完整度|价格字段完整度|有价率|price_completeness,ratio
price_band_coverage,价格带覆盖率|价格带覆盖|price_band_coverage,ratio
activity_price_consistency,活动价一致性|活动价格一致性|价差一致性|rate_parity_score|price_consistency|activity_price_consistency,ratio
reserved_room_rate,预留房占比|预留房比例|保留房比例|reserved_room_rate|reserved_room_ratio|reserve_room_rate,ratio
inventory_health_rate,库存健康率|房态健康率|库存健康度|房态健康度|inventory_health_rate,ratio
room_status_health_rate,房态健康率|房态可售率|room_status_health_rate,ratio
competitor_price_power,竞对价格承受力|价格承受力|价格竞争力|price_tolerance_score|competitor_price_power,ratio
promo_amount,推广订单金额|推广预订金额|推广成交金额|广告成交金额|promo_amount|promo_booking_amount|ad_booking_amount,number
promo_cost,推广花费|总花费|广告花费|广告消耗|promo_cost,number
promo_roi,ROI|推广ROI|广告ROI|promo_roi,number
promo_orders,推广订单数|广告订单数|推广成交订单|promo_orders|promo_booking_orders|ad_orders,number
promo_order_target,推广订单目标|广告订单目标|promo_order_target,number
promo_clicks,推广点击量|广告点击量|点击量|promo_clicks|ad_clicks|clicks,number
promo_exposure,推广曝光|广告曝光|付费曝光|promo_exposure,number
promo_ctr,推广点击率|广告点击率|点击率|promo_ctr|ad_ctr|click_rate,ratio
promo_cpc,推广CPC|广告CPC|点击单价|promo_cpc|ad_cpc|click_price,number
promo_roi_target,推广ROI目标|ROI目标|roi_target|promo_roi_target,number
promo_exposure_target,推广曝光目标|广告曝光目标|promo_exposure_target,number
promo_cpc_target,推广CPC目标|CPC目标|cpc_target|promo_cpc_target,number
promo_roi_7d_trend,推广ROI7日趋势|ROI趋势|ROI环比|promo_roi_7d_trend|roi_7d_trend,ratio
promo_order_7d_trend,推广订单7日趋势|推广订单趋势|promo_order_7d_trend|promo_orders_7d_trend,ratio
promo_detail_ready,推广明细是否完整|推广明细|promo_detail_ready,boolean
hotel_info_score,酒店信息分|门店信息分|美团信息分|hotel_info_score|meituan_info_score|info_score,number
hotel_name_keyword_status,酒店名称关键词状态|名称关键词|酒店名称状态|hotel_name_keyword_status|hotel_name_status,enum
benefit_coverage_rate,权益覆盖率|权益配置覆盖率|benefit_coverage_rate|rights_coverage_rate,ratio
rights_center_status,权益中心状态|权益中心|rights_center_status,enum
invoice_status,发票状态|发票配置|invoice_status,enum
business_travel_status,商旅状态|商旅配置|business_travel_status,enum
public_benefit_traffic_status,公益流量状态|公益流量|public_benefit_traffic_status,enum
image_quality_rating,图片质量评级|图片质量|image_quality_rating,enum
video_status,视频状态|视频|video_status,enum
highlight_status,亮点状态|亮点配置|highlight_status,enum
room_name_status,房型名称状态|房型命名|room_name_status,enum
room_description_status,房型描述状态|房型描述|room_description_status,enum
room_selling_point_status,房型卖点状态|房型卖点|卖点状态|room_selling_point_status,enum
entry_tag_quality,入口标签质量|入口标签|标签质量|entry_tag_quality,enum
facility_tag_coverage,设施标签覆盖率|设施标签覆盖|facility_tag_coverage,ratio
rating_total,平台评分|评分|点评分|rating_total,number
peer_rating_total,竞争圈评分|竞对评分|同行评分|peer_rating_total|peer_rating|competitor_rating,number
dianping_rating,大众点评评分|点评评分|dianping_rating|dp_rating,number
review_count,点评数量|评价数量|评论数量|review_count|reviews|rating_count,number
new_review_count,新增点评数|新增评价数|近30天新增评价|new_review_count|new_reviews_30d,number
review_reply_rate,评价回复率|点评回复率|评论回复率|review_reply_rate|reply_rate,ratio
bad_review_reply_rate,差评回复率|负面评价回复率|bad_review_reply_rate|negative_reply_rate,ratio
bad_review_rate,差评率|低分评价率|bad_review_rate,ratio
bad_review_tag_score,差评类型得分|差评标签得分|负面评价文本得分|bad_review_tag_score|negative_review_text_score,ratio
good_keyword_usage_rate,好评卖点反哺率|好评关键词使用率|好评卖点使用率|good_keyword_usage_rate|review_keyword_to_page_rate,ratio
good_review_keywords_used,好评关键词已反哺|好评卖点已使用|good_review_keywords_used,boolean
unreplied_reviews,未回复评价|未回复评价数|未回复评论|unreplied_reviews,number
field_completeness,字段完整度|数据完整度|field_completeness,ratio
completed_actions,已完成动作|已整改事项|完成动作数|completed_actions|completed_action_count,number
pending_actions,待处理动作|待整改事项|待处理动作数|pending_actions|pending_action_count,number
action_completion_rate,动作完成率|整改完成率|action_completion_rate|p0_p1_action_completion_rate,ratio
before_after_compare_ready,整改前后对比是否完整|前后对比完整|before_after_compare_ready|remediation_compare_ready,ratio
anomaly_review_rate,异常复盘率|异常复盘完整率|anomaly_review_rate|exception_review_rate,ratio
review_reason,复盘原因|问题原因|异常原因|review_reason|anomaly_reason,string
